TimeToEvent,BSFC,BSNO,BSPM,Corrected Exhaust,Test Time (100ms),Speed (rpm),Torque (lb-ft),Power (hp),Position,Control,Cylinder 1,Cylinder 2,Cylinder 3,Cylinder 4,Cylinder 5,Cylinder 6,Exhaust Temp,Pre Turbo Temp,Post Turbo Temp,Intake Temp,Cart Fuel Flow (kg/hr),PM Raw (ug/m^3),Turbo Position,Turbo Position Request,Turbo Boost ,Exhaust (kg/hr),LFE (kg/hr),NO Raw (ppm),EGR Meter,EGR Mass Flow (kg/hr),EGR Temp (K),EGR Venturi Guess,EGR Valve Raw,Speed,Torque,Time,Speed,Fuel Estimate (kg/hr),Boost (kPa),TurboSpeed,SSM,SOI Press Mpa,SOI Timing
-40.30,48852.3,1658.642,16.970,175.08,1,808,0,0,0,0,90.682,86.165,86.206,78.125,79.783,68.391,91.899,24.258,28.215,23.701,1.18,1.02E+00,0.518410086,0.87475,1.004867628,263.7859677,232.0100739,185.8175514,-0.004060887,-47.90881653,316.4706416,-26.02307948,5.323013043,808.0813419,0.151542995,7.4,805.9873148,0.849419158,0.126413077,15581.69343,1,42,9.228542337
-40.20,-39397.4,-1242.273,-9.144,185.46,2,808,0,0,0,0,90.682,86.165,86.206,78.125,79.783,68.391,91.899,24.258,28.215,23.701,1.16,1.03E+00,0.66854402,1.12475,1.010210669,272.8624728,231.5227384,171.7729242,-0.003566854,-53.07330198,316.4215942,-29.7413671,6.223013043,806.6482306,-0.18196793,7.5,807.2748712,0.821095355,0.226179089,15360.48612,1,42,9.220294879
-40.10,-59532.2,-1488.402,-16.084,185.31,3,808,1,0,0,0,90.682,86.165,86.206,78.125,79.783,68.391,91.899,24.258,28.215,23.701,1.16,1.02E+00,0.583704142,1.37475,1.0110079,272.7279379,226.3385759,93.3131929,-0.003427336,-63.88722857,316.5427966,-39.32699211,7.123013043,802.9029648,-0.085073378,7.6,807.3088486,0.577371747,0.083941747,15201.66885,1,42,9.241540779
-40.00,4292.3,136.873,9.079,155.20,4,805,0,0,0,0,90.682,86.165,86.206,78.125,79.783,68.391,91.899,24.258,28.215,23.701,1.16,1.31E+00,0.523233857,1.62475,1.006338028,246.4103452,225.9592797,18.03360676,-0.004441293,-62.67385539,316.4148461,-38.38300672,8.023013043,797.0225119,0.207842348,7.7,802.1260245,0.100958259,-0.007793269,15528.70848,1,42,9.228847519
-39.90,2357.8,-33.822,-5.546,150.73,5,793,0,0,0,0,90.682,86.165,86.206,78.125,79.783,68.391,91.899,24.258,28.215,23.701,1.16,1.56E+00,0.530390079,1.87475,1.001720206,242.4950864,222.1521696,5.904906482,-0.00374451,-49.56017926,316.7030341,-28.71522552,8.923013043,789.3047007,-0.347642645,7.8,797.2917425,-0.09185907,0.330913272,15100.03211,1,42,9.207298902
-39.80,-11671.8,123.743,26.713,154.70,6,793,0,0,0,0,90.682,86.165,86.206,78.125,79.783,68.391,91.899,24.258,28.215,23.701,1.16,1.37E+00,0.615972653,2.12475,0.99811012,245.9664552,218.092737,3.512972241,-0.004306612,-44.25089953,316.5062487,-25.45468926,9.823013043,781.1381229,0.070913689,7.9,788.7166798,-0.091799989,0.354730267,14985.85741,1,42,9.206160542
-39.70,-34826.3,410.742,89.404,178.52,7,793,0,0,0,0,90.682,86.165,86.206,78.125,79.783,68.391,91.899,24.258,28.215,23.701,1.138,9.42E-01,0.610724779,2.37475,1.000569255,266.7944266,215.9501368,3.92010857,-0.003921882,-42.58571405,316.5643646,-24.56427528,10.72301304,772.4985703,0.024032043,8,777.4780392,-0.0918,0.443731272,15172.45009,1,42,9.206043434
-39.60,5067.4,-64.667,-18.813,223.16,8,767,0,0,0,0,90.682,86.165,86.206,78.125,79.783,68.391,91.899,24.258,28.215,23.701,1.138,5.96E-01,0.617596219,2.62475,1.003729087,305.8195396,213.7202545,4.804813126,-0.003852947,-44.64470717,316.2718008,-26.4051827,11.62301304,763.0062952,-0.167216648,8.1,767.7436369,-0.0918,0.448379425,14707.31864,1,42,9.195948756
-39.50,3732.5,-47.627,-7.605,277.05,9,767,0,0,0,0,90.682,86.165,86.206,78.125,79.783,68.391,91.899,24.258,28.215,23.701,1.138,4.70E-01,0.585104825,2.87475,1.001350842,352.9340036,205.7144831,6.846432317,-0.004453688,-46.04095879,316.3302962,-28.83443513,12.52301304,753.8800164,-0.229767665,8.2,758.2651324,-0.0918,0.383838274,14788.34094,1,42,9.225700673
-39.40,-2391.3,35.564,4.183,276.19,10,767,0,0,0,0,90.682,86.165,86.206,78.125,79.783,68.391,91.899,24.258,28.215,23.701,1.138,3.00E-01,0.526279748,3.12475,1.01269291,352.184826,206.342183,6.399776065,-0.004586493,-48.53672736,316.1178989,-30.75731898,13.42301304,743.839369,0.363482055,8.3,749.9470924,-0.0918,0.537153611,14490.41764,1,42,9.194969655
-39.30,9332.2,-163.175,-10.487,243.81,11,739,0,0,0,0,90.682,86.165,86.206,78.125,79.783,68.391,91.899,24.258,28.215,23.701,0.838,3.34E-01,0.544786978,3.37475,0.996464088,323.8802801,209.7800703,6.249748508,-0.004942277,-40.76888774,316.5352415,-24.12200608,14.32301304,735.4959006,-0.094195718,8.4,738.7336341,-0.0918001,0.518536005,14352.17053,1,42,9.182247089
-39.20,5099.4,-655.858,-3.426,171.09,12,739,0,0,0,0,90.682,86.165,86.206,78.125,79.783,68.391,91.899,24.258,28.215,23.701,0.838,8.07E-01,0.557119602,3.62475,1.011130507,260.298241,206.9390723,45.94291683,-0.004486314,-38.83652351,316.0956431,-23.10287606,15.22301304,728.0411971,-0.172498626,8.5,729.7347469,-0.090929551,0.44467596,14169.67229,1,42,9.196951806
-39.10,-12173.1,3349.655,50.691,213.33,13,739,0,0,0,0,90.682,86.165,86.206,78.125,79.783,68.391,91.899,24.258,28.215,23.701,0.838,1.24E+00,0.55461874,3.87475,1.004903732,297.2294459,207.8224941,54.20703521,-0.004230678,-38.18448519,316.5647086,-22.50939247,16.12301304,720.8303136,0.032642423,8.6,723.2011084,-0.040668871,0.426847864,14278.08919,1,41.99999545,9.174582213
-39.00,108.3,490.210,4.123,256.83,14,719,1,0,0,0,90.778,86.217,86.26,78.091,79.572,68.536,91.798,24.262,28.214,23.717,0.838,9.78E-01,0.584507872,4.12475,1.000091453,335.2610757,205.6405745,235.1720261,-0.003701297,-28.86840841,316.5228195,-16.33085629,17.02301304,718.9495161,0.914780306,8.7,716.4335139,0.010111941,0.749553897,13983.60647,1,41.9073874,9.172340005
-38.90,59274.4,3560.039,12.734,254.55,15,719,1,0,0,0,90.778,86.217,86.26,78.091,79.572,68.536,91.798,24.262,28.214,23.717,0.838,8.76E-01,0.556782629,4.37475,1.014062205,333.2695545,207.7873366,453.2873659,-0.003986406,-31.86537972,316.4402231,-18.11336133,17.92301304,720.4038874,0.294356695,8.8,712.1287678,1.784693736,0.547752182,13974.35225,1,54.97311389,9.200632871
-38.80,-12045.7,-592.064,-1.596,206.45,16,719,1,0,0,0,90.778,86.217,86.26,78.091,79.572,68.536,91.798,24.262,28.214,23.717,0.557,8.52E-01,0.565990463,4.62475,0.993759913,291.2099406,205.9629099,313.7139966,-0.004583491,-32.65597857,316.7341131,-18.84285777,18.82301304,721.8127317,-1.427355313,8.9,712.4885228,1.762118229,0.622889791,13809.69623,1,55.00000098,9.163403065
-38.70,-8511.6,-286.328,-0.795,194.65,17,722,1,0,0,0,90.778,86.217,86.26,78.091,79.572,68.536,91.798,24.262,28.214,23.717,0.557,4.34E-01,0.570266533,4.87475,1.021804701,280.898389,206.3215183,215.6707664,-0.006010051,-30.69794339,316.8876465,-17.47939786,19.72301304,722.1333671,-1.826518657,9,717.8854288,1.594032985,0.160300106,13783.73995,1,55,9.204430566
-38.60,45666.2,1359.413,5.017,236.47,18,722,1,0,0,0,90.778,86.217,86.26,78.091,79.572,68.536,91.798,24.262,28.214,23.717,0.557,3.42E-01,0.660547756,5.12475,0.998106479,317.4600851,205.1601547,178.0335078,-0.004130185,-27.83583799,316.8419678,-15.69769929,20.62301304,722.7355335,0.295492595,9.1,723.5387987,1.384737396,0.551315196,13752.95579,1,55,9.170551923
-38.50,-29799.1,-1258.427,-3.506,276.08,19,722,1,0,0,0,90.778,86.217,86.26,78.091,79.572,68.536,91.798,24.262,28.214,23.717,0.557,2.43E-01,0.674672039,5.37475,0.999451529,352.0910324,207.9291397,300.1415076,-0.004761064,-26.67828051,316.73742,-14.71898155,21.52301304,724.8812457,-0.409651879,9.2,722.16816,1.256409781,0.734537551,13620.97929,1,55,9.204072958
-38.40,57636.7,3033.729,6.463,248.63,20,726,0,0,0,0,90.778,86.217,86.26,78.091,79.572,68.536,91.798,24.262,28.214,23.717,0.557,2.27E-01,0.655174846,5.62475,0.998579227,328.0943315,205.1938434,316.4708366,-0.004730466,-29.51017459,316.6642641,-16.79733511,22.42301304,726.9966791,0.189937434,9.3,722.9479435,1.130026434,0.554881431,13530.53945,1,54.99999995,9.182740356
-38.30,-34454.4,-1951.273,-4.623,231.54,21,726,0,0,0,0,90.778,86.217,86.26,78.091,79.572,68.536,91.798,24.262,28.214,23.717,2.262,3.13E-01,0.663199549,5.87475,0.996321393,313.1473037,209.337794,212.1306407,-0.003837294,-27.99608192,316.7620739,-15.43830242,23.32301304,728.2188058,-0.247255852,9.4,726.4113048,0.880845486,0.612300902,13715.19221,1,55.00041573,9.170876781
-38.20,-12673.0,-1043.324,-2.277,176.78,22,726,0,0,0,0,90.778,86.217,86.26,78.091,79.572,68.536,91.798,24.262,28.214,23.717,2.262,3.01E-01,0.657101867,6.12475,1.005429285,265.2726528,206.6999629,204.6670337,-0.004859993,-27.85752963,316.4865493,-15.57657716,24.22301304,728.6007659,-0.490328486,9.5,728.1977523,0.642840451,0.301252385,13498.38477,1,54.32598883,9.185844166
-38.10,-693.1,-47.705,-0.435,187.95,23,728,0,0,0,0,84.629,78.673,78.6,71.39,71.563,63.304,88.234,24.279,28.221,23.725,2.262,5.11E-01,0.706714213,6.37475,0.998397713,275.0356623,207.623658,121.9322839,-0.00444691,-28.31093615,316.3895393,-15.78858202,25.12301304,728.0963509,-6.20186964,9.6,730.5332315,0.444382785,0.629291243,13398.21419,1,42.00100373,9.178220653
-38.00,-390.8,-15.796,-0.254,235.16,24,728,0,0,0,0,84.629,78.673,78.6,71.39,71.563,63.304,88.234,24.279,28.221,23.725,2.262,1.02E+00,0.856854509,6.62475,0.997476111,316.3169365,204.7469985,74.60682923,-0.005005463,-27.5101761,316.5136727,-15.52170465,26.02301304,728.888302,-7.919182628,9.7,727.0943266,0.320313808,0.522941571,13289.49354,1,41.99999981,9.18143756
-37.90,-331.7,-13.921,-0.221,258.58,25,728,0,0,0,0,84.629,78.673,78.6,71.39,71.563,63.304,88.234,24.279,28.221,23.725,2.262,1.07E+00,1.259005337,6.87475,0.992632379,336.7895251,205.6149322,60.41873724,-0.005383916,-30.31008723,316.4515302,-17.28993128,26.92301304,727.3996672,-8.016338691,9.8,724.4788229,0.274594508,0.643691865,13227.5466,1,42,9.204757662
