TimeToEvent,BSFC,BSNO,BSPM,Corrected Exhaust,Test Time (100ms),Speed (rpm),Torque (lb-ft),Power (hp),Position,Control,Cylinder 1,Cylinder 2,Cylinder 3,Cylinder 4,Cylinder 5,Cylinder 6,Exhaust Temp,Pre Turbo Temp,Post Turbo Temp,Intake Temp,Cart Fuel Flow (kg/hr),PM Raw (ug/m^3),Turbo Position,Turbo Position Request,Turbo Boost ,Exhaust (kg/hr),LFE (kg/hr),NO Raw (ppm),EGR Meter,EGR Mass Flow (kg/hr),EGR Temp (K),EGR Venturi Guess,EGR Valve Raw,Speed,Torque,Time,Speed,Fuel Estimate (kg/hr),Boost (kPa),TurboSpeed,SSM,SOI Press Mpa,SOI Timing
-40.70,14407.4,1016.215,1.549,227.39,1,701,2,0,0,0,89.906,86.183,87.009,78.073,79.448,68.283,99.234,24.593,28.7,25.579,1.054,5.33E-01,0.525343804,0.27675,1.003047347,309.5221344,201.3140591,188.9131724,7.806948917,-93.64697666,320.2119582,-86.97828023,3.170213043,700.5412179,0.362309938,3.4,699.4737504,0.696264112,0.061193571,13174.18292,1,42,9.207189346
-40.60,9896.4,592.575,1.344,151.45,2,701,1,0,0,0,89.906,86.183,87.009,78.073,79.448,68.283,99.234,24.593,28.7,25.579,1.054,1.35E+00,0.51828587,0.52675,1.000135934,243.1276966,200.6675586,224.6614262,7.778486205,-93.04030962,320.3828245,-86.44679717,4.070213043,700.3131295,0.492173376,3.5,700.4517032,0.649477915,-0.014606596,13323.14368,1,42,9.207418752
-40.50,4227.4,247.744,0.945,187.42,3,701,1,0,0,0,89.906,86.183,87.009,78.073,79.448,68.283,99.234,24.593,28.7,25.579,1.054,1.66E+00,0.552542586,0.77675,1.00388235,274.57674,201.7858402,180.6257195,7.818607054,-91.35245017,320.1814894,-82.72176571,4.970213043,700.1477932,1.171715269,3.6,700.4840911,0.66033535,0.088378797,13199.50852,1,42,9.206287092
-40.40,9781.2,864.808,2.078,221.61,4,700,2,0,0,0,89.906,86.183,87.009,78.073,79.448,68.283,99.234,24.593,28.7,25.579,1.054,1.40E+00,0.555005158,1.02675,1.004391831,304.4634453,200.7780458,236.6002002,7.78630993,-91.92001581,320.2127654,-84.44027125,5.870213043,700.5434647,0.519635021,3.7,700.9897776,0.677958379,-0.064037159,13124.67492,1,42,9.213936711
-40.30,5560.1,446.467,0.777,230.25,5,700,2,0,0,0,89.906,86.183,87.009,78.073,79.448,68.283,99.234,24.593,28.7,25.579,1.054,9.98E-01,0.556301587,1.27675,0.995467144,312.0240572,200.3717759,213.1081998,7.487205466,-91.00787443,320.2502516,-83.2156436,6.770213043,700.8564457,0.941570625,3.8,699.9980356,0.69861482,0.00943838,13285.02631,1,42,9.225758123
-40.20,3087.9,203.372,0.163,163.82,6,700,1,0,0,0,89.906,86.183,87.009,78.073,79.448,68.283,99.234,24.593,28.7,25.579,1.039,6.80E-01,0.608123959,1.52675,1.008778049,253.9460276,200.4425234,245.5613209,7.320595169,-90.07903221,320.2662623,-81.62031776,7.670213043,700.5811487,1.69499444,3.9,700.1385397,0.698172367,-0.088286759,13166.34348,1,42,9.228797333
-40.10,13573.2,917.037,2.756,185.45,7,700,1,0,0,0,89.906,86.183,87.009,78.073,79.448,68.283,99.234,24.593,28.7,25.579,1.039,5.26E-01,0.476096119,1.77675,0.997010266,272.8544936,196.1609285,224.5965093,7.072178422,-89.9390129,320.1285056,-84.67086322,8.570213043,700.8675397,0.389067205,4,699.994057,0.704722519,-0.001081024,13079.57398,1,42,9.205222541
-40.00,4113.7,220.522,1.919,230.83,8,700,1,0,0,0,89.71,86.051,86.749,78.101,79.524,68.279,99.173,24.595,28.683,25.568,1.039,5.88E-01,0.48545788,2.02675,1.003783773,312.5245384,199.0261335,140.6074663,7.033461081,-89.6929126,320.4139172,-82.0362849,9.470213043,700.4026402,1.261707138,4.1,699.7154229,0.692170843,0.134488511,13251.51091,1,42,9.217609503
-39.90,3418.5,258.047,1.343,179.60,9,700,1,0,0,0,89.71,86.051,86.749,78.101,79.524,68.279,99.173,24.595,28.683,25.568,1.039,4.73E-01,0.561503387,2.27675,0.995810347,267.7424798,198.7016536,237.7428679,7.086897981,-90.45724499,320.3273532,-83.56759133,10.37021304,700.4947661,1.418162681,4.2,696.2518385,0.646604213,0.004747697,13087.72808,1,42,9.206729251
-39.80,10466.5,630.432,0.485,170.42,10,700,2,0,0,0,89.71,86.051,86.749,78.101,79.524,68.279,99.173,24.595,28.683,25.568,1.039,4.46E-01,0.561067685,2.52675,1.006081192,259.7102734,196.1151715,219.010919,7.039471107,-88.65927078,320.1904553,-82.50758702,11.27021304,700.8466399,0.507118122,4.3,699.5306185,0.70828312,0.007666654,13064.56269,1,42,9.21078061
