TimeToEvent,BSFC,BSNO,BSPM,Corrected Exhaust,Test Time (100ms),Speed (rpm),Torque (lb-ft),Power (hp),Position,Control,Cylinder 1,Cylinder 2,Cylinder 3,Cylinder 4,Cylinder 5,Cylinder 6,Exhaust Temp,Pre Turbo Temp,Post Turbo Temp,Intake Temp,Cart Fuel Flow (kg/hr),PM Raw (ug/m^3),Turbo Position,Turbo Position Request,Turbo Boost ,Exhaust (kg/hr),LFE (kg/hr),NO Raw (ppm),EGR Meter,EGR Mass Flow (kg/hr),EGR Temp (K),EGR Venturi Guess,EGR Valve Raw,Speed,Torque,Time,Speed,Fuel Estimate (kg/hr),Boost (kPa),TurboSpeed,SSM,SOI Press Mpa,SOI Timing
-40.90,63902.6,4906.055,17.904,238.94,1,700,0,0,0,0,95.576,91.857,93.613,80.634,85.714,70.095,110.614,24.455,32.111,24.566,1.037,5.61E-01,0.674249857,0.549,1.006245809,319.6152726,203.6541259,240.6666658,-0.004940854,-81.11012837,316.4549945,-66.18857715,2.783913043,699.8742995,0.105987899,3.2,702.1205064,0.673041217,-1.751297323,13593.80009,1,42,9.20594963
-40.80,-17249.9,-1465.449,-3.949,218.58,2,700,1,0,0,0,95.576,91.857,93.613,80.634,85.714,70.095,110.614,24.455,32.111,24.566,1.037,5.96E-01,0.667480184,0.999,0.989605301,301.8216069,203.2163517,241.117823,-0.004966033,-79.41989252,316.4370416,-64.15360588,3.283913043,700.5152659,-0.427135902,3.3,700.7914492,0.73285239,-1.976243063,13810.47932,1,42,9.221825664
-40.70,51088.3,3243.507,6.627,208.88,3,700,1,0,0,0,95.576,91.857,93.613,80.634,85.714,70.095,110.614,24.455,32.111,24.566,1.056,7.96E-01,0.659752311,1.449,0.999679131,293.3409186,204.3664071,242.1481329,-0.004565739,-79.01417004,316.5699513,-63.03371357,3.783913043,700.966771,0.141599582,3.4,699.9790576,0.719992023,-1.86093179,13705.51177,1,42,9.227582058
-40.60,14878.1,802.111,1.827,214.70,4,701,1,0,0,0,95.576,91.857,93.613,80.634,85.714,70.095,110.614,24.455,32.111,24.566,1.056,9.73E-01,0.674185246,1.899,0.998069515,298.4294515,203.2998012,191.6710608,-0.00498938,-78.20976729,316.4814285,-62.52278046,4.283913043,700.8187481,0.49315457,3.5,699.4759052,0.730102976,-1.84452297,13570.57849,1,42,9.206488179
-40.50,-25709.0,-1542.999,-3.745,258.21,5,701,1,0,0,0,95.576,91.857,93.613,80.634,85.714,70.095,110.614,24.455,32.111,24.566,1.056,6.10E-01,0.679987477,2.349,0.992304557,336.4653932,203.8085102,178.6798531,-0.004558452,-78.58961795,316.8062034,-62.7617898,4.783913043,700.7417159,-0.28908884,3.6,698.8777108,0.73947177,-1.576248184,13759.73799,1,42,9.188264621
-40.40,19214.1,1706.819,3.229,188.77,6,700,0,0,0,0,95.576,91.857,93.613,80.634,85.714,70.095,110.614,24.455,32.111,24.566,1.056,6.09E-01,0.678833433,2.799,1.001126683,275.7587975,202.7934324,245.4636335,-0.004760604,-77.72588931,316.5054075,-62.14713057,5.283913043,701.0126081,0.37081087,3.7,700.1891077,0.709160414,-1.749007955,13525.57283,1,42,9.203208082
-40.30,12234.3,688.200,2.453,205.36,7,700,0,0,0,0,95.576,91.857,93.613,80.634,85.714,70.095,110.614,24.455,32.111,24.566,1.056,6.45E-01,0.667821908,3.249,0.992758744,290.2595369,199.2021657,203.1673346,-0.004858978,-75.96529049,316.1319878,-61.64168831,5.783913043,700.5710694,0.594046021,3.8,699.5343533,0.722930316,-1.951098089,13542.24141,1,42,9.186400326
-40.20,-26494.6,-1798.179,-6.056,248.39,8,700,1,0,0,0,95.576,91.857,93.613,80.634,85.714,70.095,110.614,24.455,32.111,24.566,1.044,5.58E-01,0.677916912,3.699,1.008519082,327.876597,203.3235663,238.7537194,-0.005506406,-77.22697935,316.3409585,-61.24430582,6.283913043,700.6401164,-0.253753557,3.9,700.7433773,0.668822742,-1.740751502,13681.4658,1,42,9.206094547
-40.10,14301.6,1007.681,3.290,256.64,9,700,1,0,0,0,95.576,91.857,93.613,80.634,85.714,70.095,110.614,24.455,32.111,24.566,1.044,3.74E-01,0.673248459,4.149,1.006364675,335.0939852,199.862068,216.1007585,-0.00480357,-76.86025164,316.1537166,-62.4870867,6.783913043,700.3626375,0.504551965,4,701.7086355,0.717564315,-1.711762277,13492.13642,1,42,9.206046943
-40.00,-52536.3,-3977.415,-10.459,200.16,10,700,1,0,0,0,95.576,91.857,93.613,80.634,85.714,70.095,110.614,24.455,32.111,24.566,1.044,2.73E-01,0.677908062,4.599,0.999452464,285.7151125,200.6436131,226.4398372,-0.004427053,-76.34403076,316.2448971,-61.41937834,7.283913043,700.9259329,-0.131840836,4.1,701.325679,0.689330835,-1.51907584,13452.27929,1,42,9.216655091
