TimeToEvent,BSFC (g/kW-hr),BSNO (g/kW-hr),BSPM (g/kW-hr),Corrected Exhaust,Test Time (100ms),Speed (rpm),Torque (lb-ft),Power (hp),Position,Control,Cylinder 1,Cylinder 2,Cylinder 3,Cylinder 4,Cylinder 5,Cylinder 6,Exhaust Temp,Pre Turbo Temp,Post Turbo Temp,Intake Temp,Cart Fuel Flow (kg/hr),PM Raw (ug/m^3),Turbo Position,Turbo Position Request,Turbo Boost ,Exhaust (kg/hr),LFE (kg/hr),NO Raw (ppm),EGR Meter,EGR Mass Flow (kg/hr),EGR Temp (K),EGR Venturi Guess,EGR Valve Raw,Speed,Torque,Time,Speed,Fuel Estimate (kg/hr),Boost (kPa),TurboSpeed,SSM,SOI Press Mpa,SOI Timing
-39.90,-1079.1,23.409,1.799,258.54,10,766,1,0,0,0,97.163,93.583,92.944,82.594,86.58,73.176,114.53,24.376,31.9,24.613,1.21,8.16E-01,1.184510617,2.84375,0.999425616,336.7544704,203.7492882,10.17998117,-0.004284178,-74.94598896,321.6596236,-58.18638916,12.41141304,754.4932644,0.79408294,7.3,777.2221755,-0.091799773,-0.837866431,13845.63532,1,42,9.198753659
-39.80,-1076.3,31.747,1.834,198.03,11,757,2,0,0,0,97.163,93.583,92.944,82.594,86.58,73.176,114.53,24.376,31.9,24.613,1.21,1.24E+00,1.176751169,3.09375,0.995129971,283.8523692,203.5476859,11.087639,-0.004597278,-73.39948142,321.7502882,-56.39684522,13.31141304,745.2510365,0.806066282,7.4,765.737643,-0.0918,-1.15236862,13679.17666,1,42,9.240735348
-39.70,-1910.9,48.464,2.577,161.14,12,747,1,0,0,0,97.163,93.583,92.944,82.594,86.58,73.176,114.53,24.376,31.9,24.613,1.21,1.36E+00,1.152477207,3.34375,0.996186958,251.5970026,200.3400021,8.578704655,-0.004323637,-71.87383912,321.5934011,-55.94768103,14.21141304,736.3917635,0.459449816,7.5,752.7772376,-0.0918,-1.057685103,13662.63317,1,42,9.243897895
-39.60,-998.1,95.580,0.761,195.62,13,739,1,0,0,0,97.163,93.583,92.944,82.594,86.58,73.176,114.53,24.376,31.9,24.613,0.966,9.85E-01,1.197900058,3.59375,1.002092326,281.7410919,198.8378733,48.39829954,-0.004243348,-73.3285619,321.7192852,-58.4247982,15.11141304,728.741509,0.888904452,7.6,748.3487438,-0.091799994,-0.773200712,13811.01584,1,42,9.201312944
-39.50,-2496.8,309.789,2.453,244.22,14,731,1,0,0,0,97.243,93.793,91.913,82.511,85.893,72.925,113.891,24.389,31.846,24.62,0.966,4.47E-01,1.179222359,3.84375,1.004483914,324.2361376,197.3118454,62.7562213,-0.003710366,-65.55430526,321.6614567,-49.75374099,16.01141304,723.3846428,0.358046609,7.7,738.8037216,-0.091820505,-0.964544734,13579.92528,1,42,9.21055318
-39.40,374.4,1155.529,1.709,271.39,15,724,1,0,0,0,97.243,93.793,91.913,82.511,85.893,72.925,113.891,24.389,31.846,24.62,0.966,4.10E-01,1.213390511,4.09375,0.993775305,347.987566,198.0458297,402.6280119,-0.004471088,-53.48337507,321.8996403,-36.99672587,16.91141304,723.2074032,0.691377661,7.8,725.1020165,0.026578089,-0.48273404,13504.90039,1,41.99999807,9.188016678
-39.30,529.9,698.078,1.311,181.64,16,722,1,0,0,0,97.243,93.793,91.913,82.511,85.893,72.925,113.891,24.389,31.846,24.62,0.966,5.49E-01,1.048383448,4.34375,1.007450062,269.5230668,198.6142438,358.4938312,-0.005074522,-66.25584052,321.9824126,-50.05790254,17.81141304,724.695167,1.240127181,7.9,718.6549196,0.06761296,-0.65525679,13497.8854,1,42.0250711,9.221792881
-39.20,32952.3,1304.046,2.832,181.54,17,724,1,0,0,0,97.243,93.793,91.913,82.511,85.893,72.925,113.891,24.389,31.846,24.62,0.966,6.29E-01,1.061889905,4.59375,1.004802586,269.4324257,198.2032815,282.9673926,-0.003995449,-64.98870578,322.1411823,-48.78498126,18.71141304,725.7462772,0.533605357,8,713.739612,1.811911844,-0.483228751,13436.51003,1,55.07167768,9.203830568
-39.10,19135.9,617.582,1.212,203.75,18,725,1,0,0,0,97.243,93.793,91.913,82.511,85.893,72.925,113.891,24.389,31.846,24.62,0.777,8.66E-01,1.221379415,4.84375,0.996162996,288.854612,198.352229,273.4676059,-0.004360997,-63.11153525,322.0054631,-46.66608362,19.61141304,726.9536187,0.878964415,8.1,719.0289003,1.736090797,-0.7381002,13696.34173,1,55.00001197,9.206104627
-39.00,22935.5,619.235,3.188,248.48,19,726,1,0,0,0,97.243,93.793,91.913,82.511,85.893,72.925,113.891,24.389,31.846,24.62,0.777,9.39E-01,1.236208139,5.09375,1.004582807,327.9589743,198.0423719,210.1252343,-0.004713844,-42.23270748,321.9884454,-27.10531959,20.51141304,727.7811035,0.610286954,8.2,723.8689817,1.446404497,-0.71016412,13552.16486,1,55,9.205813718
-38.90,16071.8,504.586,2.478,253.40,20,727,1,0,0,0,97.243,93.793,91.913,82.511,85.893,72.925,113.891,24.389,31.846,24.62,0.777,5.80E-01,1.208920738,5.34375,0.990401854,332.2615685,196.7140404,241.8902785,-0.003911447,-60.67916354,321.7825644,-44.60559301,21.41141304,729.414005,0.77366049,8.3,723.3125131,1.287764994,-0.733709903,13568.55912,1,55,9.205949699
-38.80,9529.9,357.993,2.549,204.89,21,729,1,0,0,0,97.243,93.793,91.913,82.511,85.893,72.925,113.891,24.389,31.846,24.62,0.777,3.88E-01,1.255796581,5.59375,1.004879805,289.8463983,195.4537911,188.5450861,-0.004367328,-41.27654354,321.7553581,-26.77213674,22.31141304,730.1069033,1.092216019,8.4,724.9941722,1.079025882,-0.745873251,13551.72454,1,55,9.205689567
-38.70,11980.8,767.719,6.418,185.85,22,730,1,0,0,0,97.243,93.793,91.913,82.511,85.893,72.925,113.891,24.389,31.846,24.62,0.777,3.39E-01,1.261220904,5.84375,1.011861219,273.2018669,196.014282,242.980924,-0.004424752,-39.99602013,321.8881006,-25.63547348,23.21141304,730.5459562,0.738028213,8.5,727.8518038,0.917173057,-0.519765023,13449.37042,1,55.00000001,9.211903902
-38.60,5448.8,296.715,3.746,167.14,23,730,1,0,0,0,97.243,93.793,91.913,82.511,85.893,72.925,113.891,24.389,31.846,24.62,2.382,7.48E-01,1.230351479,6.09375,1.005323461,256.8480498,196.0526985,160.0574238,-0.004727378,-39.25531644,321.7286659,-25.03569633,24.11141304,729.2194161,1.137159577,8.6,731.7904391,0.64154499,-0.401132356,13704.99411,1,54.99995564,9.1745122
-38.50,-1652.6,-70.651,-1.202,214.98,24,729,1,0,0,0,90.856,85.075,86.593,76.195,80.822,70.854,112.008,24.385,31.811,24.614,2.382,8.09E-01,1.261060376,6.34375,1.002569686,298.6724632,193.8631293,96.09061628,-0.004244018,-41.18003327,321.8419868,-26.97091841,25.01141304,726.4288208,-2.338328777,8.7,730.1381146,0.398587599,-0.628870618,13452.10534,1,54.73142013,9.203815596
-38.40,-779.3,-26.060,-0.560,241.88,25,727,2,0,0,0,90.856,85.075,86.593,76.195,80.822,70.854,112.008,24.385,31.811,24.614,2.382,5.81E-01,1.273251661,6.59375,1.004583161,322.1876879,192.8236939,65.27841698,-0.005131436,-39.43705003,321.6311499,-25.71087614,25.91141304,725.7122291,-4.315531475,8.8,729.3209141,0.346538277,-0.560902498,13449.22314,1,41.99327436,9.16718294
-38.30,-394.6,-31.636,-0.601,218.27,26,725,-6,-1,0,0,90.856,85.075,86.593,76.195,80.822,70.854,112.008,24.385,31.811,24.614,2.382,3.76E-01,1.268701298,6.84375,1.003786959,301.545559,193.5249456,82.2518043,-0.004987346,-34.32686712,321.8593098,-21.56236272,26.81141304,723.7421629,-5.516515971,8.9,726.7990369,0.223699662,-0.484121673,13386.21929,1,42.00000052,9.202971142
-38.20,-260.3,-25.790,-0.524,177.33,27,724,-6,-1,0,0,90.856,85.075,86.593,76.195,80.822,70.854,112.008,24.385,31.811,24.614,2.382,4.99E-01,1.267971152,7.09375,0.998977903,265.7551035,190.717065,79.63728483,-0.005027981,-33.12685622,321.5375977,-21.02088479,27.71141304,720.7373951,-6.946829903,9,725.3344989,0.185073806,-0.493619707,13297.45688,1,42,9.187238098
