TimeToEvent,BSFC,BSNO,BSPM,Corrected Exhaust,Test Time (100ms),Speed (rpm),Torque (lb-ft),Power (hp),Position,Control,Cylinder 1,Cylinder 2,Cylinder 3,Cylinder 4,Cylinder 5,Cylinder 6,Exhaust Temp,Pre Turbo Temp,Post Turbo Temp,Intake Temp,Cart Fuel Flow (kg/hr),PM Raw (ug/m^3),Turbo Position,Turbo Position Request,Turbo Boost ,Exhaust (kg/hr),LFE (kg/hr),NO Raw (ppm),EGR Meter,EGR Mass Flow (kg/hr),EGR Temp (K),EGR Venturi Guess,EGR Valve Raw,Speed,Torque,Time,Speed,Fuel Estimate (kg/hr),Boost (kPa),TurboSpeed,SSM,SOI Press Mpa,SOI Timing
-40.10,5505.3,385.947,3.364,156.93,1,700,2,0,0,0,93.887,90.044,89.875,80.372,82.226,69.968,107.501,24.322,31.572,24.498,1.003,9.95E-01,0.651383922,0.4785,0.997621306,247.9235722,176.1407691,224.1426848,-0.004545675,-21.86520237,320.0725464,-14.17282259,3.896513043,700.2812619,1.333711698,4.2,698.2646808,0.73006855,-0.356266965,-2.09017E-44,1,42,9.227581716
-40.00,6981.0,301.128,3.169,212.46,2,700,2,0,0,0,93.887,90.044,89.875,80.372,82.226,69.968,107.501,24.322,31.572,24.498,1.003,5.97E-01,0.639379098,0.7285,1.000892989,296.4680286,179.4024176,183.5574494,-0.0044444,-36.91874684,320.1438739,-25.91086168,4.796513043,699.9392674,1.104197659,4.3,697.8487248,0.766079431,-0.12256712,5.57772E-49,1,42,9.195361338
-39.90,7385.0,653.429,4.367,226.37,3,700,1,0,0,0,93.887,90.044,89.875,80.372,82.226,69.968,107.501,24.322,31.572,24.498,1.003,2.89E-01,0.657624306,0.9785,0.996173738,308.6288443,184.1176969,283.139609,-0.004293252,-65.95670719,319.8811903,-55.81935914,5.696513043,700.0709939,0.869569007,4.4,702.8749617,0.638327618,-0.193527355,4.34892E-52,1,42,9.200595437
-39.80,6102.2,608.867,4.622,228.34,4,700,1,0,0,0,93.887,90.044,89.875,80.372,82.226,69.968,107.501,24.322,31.572,24.498,1.003,2.51E-01,0.57505113,1.2285,0.990095083,310.3524907,185.6435191,231.6466778,-0.004508731,-64.62020271,319.7670998,-53.39483716,6.596513043,700.3281206,0.938930876,4.5,706.4409282,0.569729865,-0.094487295,-7.60704E-56,1,42,9.209546848
-39.70,5513.5,424.879,3.132,180.03,5,700,2,0,0,0,93.677,89.872,89.689,80.586,82.242,69.791,107.575,24.309,31.526,24.492,1.008,2.22E-01,0.571373581,1.4785,0.991475729,268.1108435,186.5340745,254.7713421,-0.003579477,-68.63519999,319.8480741,-58.21531398,7.496513043,700.5331655,1.209705513,4.6,701.9039441,0.663410026,-0.33787011,2.0669E-60,1,42,9.240114654
-39.60,10750.2,542.388,6.269,199.48,6,700,1,0,0,0,93.677,89.872,89.689,80.586,82.242,69.791,107.575,24.309,31.526,24.492,1.008,2.32E-01,0.675030322,1.7285,0.998114265,285.1161331,187.4061167,196.8322764,-0.00387657,-70.63649908,319.7273811,-60.4921901,8.396513043,700.5753452,0.671235916,4.7,697.2347825,0.717786191,-0.409684452,1.57699E-63,1,42,9.227074706
-39.50,9165.9,422.654,5.824,245.40,7,700,1,0,0,0,93.677,89.872,89.689,80.586,82.242,69.791,107.575,24.309,31.526,24.492,1.008,2.19E-01,0.646531473,1.9785,1.003486979,325.2685537,185.511882,167.0262832,-0.00361675,-69.57430452,319.9147296,-60.01014167,9.296513043,700.5254992,0.885298423,4.8,696.93179,0.807111852,-0.454218764,-2.76851E-67,1,42,9.232422947
-39.40,7305.8,601.088,5.638,200.66,8,700,2,0,0,0,93.677,89.872,89.689,80.586,82.242,69.791,107.575,24.309,31.526,24.492,1.008,4.13E-01,0.667361486,2.2285,0.995510458,286.1549367,188.0218449,246.9874184,-0.004065038,-69.98736767,319.9498245,-59.29400404,10.19651304,700.3198027,1.017811043,4.9,697.8457489,0.739401901,-0.100705382,7.65619E-72,1,42,9.194240599
-39.30,19511.5,1427.438,15.977,183.99,9,700,1,0,0,0,93.677,89.872,89.689,80.586,82.242,69.791,107.575,24.309,31.526,24.492,1.008,9.97E-01,0.640750806,2.4785,0.997436117,271.5758432,188.0105708,230.4234797,-0.003661289,-68.08220483,319.6821737,-56.76905901,11.09651304,700.6149665,0.346230351,5,701.1798721,0.672020315,-0.128490411,5.71832E-75,1,42,9.215871265
-39.20,6549.6,384.242,4.436,222.82,10,701,1,0,0,0,93.677,89.872,89.689,80.586,82.242,69.791,107.575,24.309,31.526,24.492,1.004,1.22E+00,0.558994471,2.7285,1.000266305,305.5282096,186.3549439,210.3690188,-0.004429639,-70.8873759,319.964904,-61.39159001,11.99651304,700.5192204,0.960542603,5.1,703.7166765,0.62574356,-0.323068345,-1.00756E-78,1,42,9.229659101
