BSFC (g/kW-hr),BSNO (g/kW-hr),BSPM (g/kW-hr),Corrected Exhaust,TimeToEvent,Test Time (100ms),Speed (rpm),Torque (lb-ft),Power (hp),Position,Control,Cylinder 1,Cylinder 2,Cylinder 3,Cylinder 4,Cylinder 5,Cylinder 6,Exhaust Temp,Pre Turbo Temp,Post Turbo Temp,Intake Temp,Cart Fuel Flow (kg/hr),PM Raw (ug/m^3),Turbo Position,Turbo Position Request,Turbo Boost ,Exhaust (kg/hr),LFE (kg/hr),NO Raw (ppm),EGR Meter,EGR Mass Flow (kg/hr),EGR Temp (K),EGR Venturi Guess,EGR Valve Raw,Speed,Torque,Time,Speed,Fuel Estimate (kg/hr),Boost (kPa),TurboSpeed,SSM,SOI Press Mpa,SOI Timing
11812.4,738.567,4.905,196.25,-40.80,1,700,1,0,0,0,95.661,93.283,92.273,81.587,83.323,71.089,110.342,24.293,32.267,24.604,1.032,1.08E+00,0.580298846,0.41475,1.005769079,282.2998821,176.9017736,207.4974688,-0.004384083,-19.54747947,320.7169641,-12.42259042,3.667013043,699.7237197,0.623466991,2.7,698.3762948,0.731683062,-0.031083409,13011.54575,1,42,9.159658264
7747.6,545.473,1.958,167.54,-40.70,2,700,1,0,0,0,95.326,91.574,91.358,81.746,83.285,70.823,110.375,24.284,32.238,24.544,1.011,1.83E+00,0.587058123,0.66475,1.001554772,257.1987618,181.5882411,223.329065,-0.003791627,-36.13698054,320.6012397,-24.84473521,4.567013043,700.2612794,0.911677905,2.8,701.5901555,0.702288252,0.280346068,12230.58088,1,42,9.208927319
5385.1,243.134,2.244,189.92,-40.60,3,700,1,0,0,0,95.326,91.574,91.358,81.746,83.285,70.823,110.375,24.284,32.238,24.544,1.011,2.39E+00,0.581153867,0.91475,0.998954431,276.7574887,185.5364094,201.8626431,-0.004215546,-60.58481788,320.2829645,-48.48663162,5.467013043,700.5586734,1.384865884,2.9,705.5810588,0.741805259,0.184622429,12238.94212,1,42,9.172929877
8808.5,586.627,5.665,220.48,-40.50,4,700,2,0,0,0,95.326,91.574,91.358,81.746,83.285,70.823,110.375,24.284,32.238,24.544,1.011,2.31E+00,0.59675478,1.16475,0.998062108,303.4770488,190.8850564,250.1718038,-0.003785314,-71.09227331,320.5740812,-59.3460403,6.367013043,700.7087844,0.758144005,3,704.1516136,0.664409406,0.119254026,1917.943415,1,42,9.184912004
6803.4,511.261,2.860,221.40,-40.40,5,700,1,0,0,0,95.326,91.574,91.358,81.746,83.285,70.823,110.375,24.284,32.238,24.544,1.011,1.66E+00,0.576697193,1.41475,0.994029249,304.283391,191.5741675,238.2506878,-0.004221735,-71.78409344,320.5395704,-59.92490948,7.267013043,700.8013414,1.105203721,3.1,697.8438075,0.748186973,-0.386312197,-1249.646938,1,42,9.196034094
5242.5,310.365,0.605,165.92,-40.30,6,701,1,0,0,0,95.326,91.574,91.358,81.746,83.285,70.823,110.375,24.284,32.238,24.544,1.011,1.07E+00,0.610938485,1.66475,0.998912117,255.7757048,190.6302176,229.9595561,-0.00454941,-69.2302336,320.5667801,-57.02655905,8.167013043,700.5247687,1.500517941,3.2,695.6144111,0.782439299,0.110722147,12103.23468,1,42,9.162143673
7916.0,420.637,0.798,176.87,-40.20,7,700,2,0,0,0,95.326,91.574,91.358,81.746,83.285,70.823,110.375,24.284,32.238,24.544,1.023,1.02E+00,0.595770205,1.91475,0.994428214,265.3541364,191.3836979,209.9412841,-0.004234019,-71.04518802,320.4104196,-59.03778277,9.067013043,700.5774293,0.929992338,3.3,697.7751467,0.732293459,0.042869036,12281.29296,1,42,9.236073351
8211.4,411.551,0.927,235.99,-40.10,8,700,1,0,0,0,95.326,91.574,91.358,81.746,83.285,70.823,110.375,24.284,32.238,24.544,1.023,1.15E+00,0.587427643,2.16475,0.986968431,317.0390892,190.4683537,181.6721775,-0.004337953,-72.44841287,320.5815161,-61.38658634,9.967013043,700.5781467,0.940870604,3.4,699.8690886,0.768511564,-0.07496585,12079.10294,1,42,9.200831184
5512.0,407.471,0.669,201.43,-40.00,9,700,1,0,0,0,95.326,91.574,91.358,81.746,83.285,70.823,110.375,24.284,32.238,24.544,1.023,1.19E+00,0.5952226,2.41475,1.001147755,286.8280191,191.6977283,228.4443189,-0.004723957,-72.53549527,320.5482686,-60.87121179,10.86701304,700.1295462,1.280783421,3.5,703.193353,0.701790996,-0.275306901,14485.74651,1,42,9.242743239
13543.5,1069.482,2.344,185.35,-39.90,10,700,1,0,0,0,95.326,91.574,91.358,81.746,83.285,70.823,110.375,24.284,32.238,24.544,1.023,1.29E+00,0.604038496,2.66475,0.99654629,272.7658061,192.6214805,245.139127,-0.004666819,-67.38589912,320.5172807,-53.80731131,11.76701304,700.30052,0.470862033,3.6,704.8959346,0.634096853,-0.321804065,12166.95772,1,42,9.204408055
